source,destination,code,public
10.10.1.1,10.10.1.2,23snMFFUAzBkGou7QBwYgLrYjDX5bRPRk7yjjBDzfrxDGqgrZNLnkTtcDXQ9KLqJk17x4siBQNKzPnsssvuJEU5MT65uqHrPKyuNCPC87fFbswddaYJPM6RxccgcBwDj3PZF8MoigNy8QzuZD9VvtBibtsBSbEx4eHdcfQg3iDZGmZvJFfCtfnibjA9cdM5pe7mWBNXfuVrrdkEKcdGFa1o,27UsFJseRREXu6wjZRugHhKxwLD6jWbY9J5w2tTHp8ody1yvjp1phFXwPBerAYArE9BijQnaVqLXXPMa5LnVzJ3zTrwu4zLWb8nBfuBYqUmiynf5zne6X4uGu3hiWHGKwjnWJwDaSUsJspTqX6wNEGC1FmUHyK5wENojHFPNNuSFmGptLGEkjMki3kUki3m6SCFCDjPNMG8X56TfF4TZgfS
10.10.1.1,10.10.1.3,26GokGBknCFSn1LPRCuaKY2gAYdthgB5S4LvP93c5bUq148B3bZ6DdB8WxFAStgwo4dFnqrYuwm4xfaUnU8EZkavV23HtFBMCintShJfYcfXsQE9w2Pgu3v3Fc8Bu3dvTBc3APEU48uQpktFc7vMaKWrSWi1iNWNTqjXJTM5UzAfy7aB7yHzuQnmcuT2Uz9ZDn7UWGZCDUBaSt2TK3K1W6a,27UsFJseRREXu6wjZRugHhKxwLD6jWbY9J5w2tTHp8ody1yvjp1phFXwPBerAYArE9BijQnaVqLXXPMa5LnVzJ3zTrwu4zLWb8nBfuBYqUmiynf5zne6X4uGu3hiWHGKwjnWJwDaSUsJspTqX6wNEGC1FmUHyK5wENojHFPNNuSFmGptLGEkjMki3kUki3m6SCFCDjPNMG8X56TfF4TZgfS
10.10.1.1,10.10.1.4,23trvK6XXkuDNU6rv5GHLFnuTurqG9TQe7WyGiDNYp6682RUS7eK62ZkVfa6zKYL26whemo25HAzFdKsoKVgHGAGcN7bVj8k8by7M2rUKAZBXi3uV2g647swVWALJhF6ubyGzMATUKZtWs9y1eDgK9aLhN6Eyxn4em9TE2C6qngzdBbLAw9xx5rtsH3EAnrNr1aQWCSPL4ijuKj1os8DTLp,27UsFJseRREXu6wjZRugHhKxwLD6jWbY9J5w2tTHp8ody1yvjp1phFXwPBerAYArE9BijQnaVqLXXPMa5LnVzJ3zTrwu4zLWb8nBfuBYqUmiynf5zne6X4uGu3hiWHGKwjnWJwDaSUsJspTqX6wNEGC1FmUHyK5wENojHFPNNuSFmGptLGEkjMki3kUki3m6SCFCDjPNMG8X56TfF4TZgfS
10.10.1.1,10.10.1.5,22ixogk5Tg9gLHPmygE393u3W2KtXz4zG8Nrhwh8Ezjpeu4RrFVoYQ1E3RbPR4n8U7NS7FAFQRitxoMD5QPpKRYX3Ari3jfZqn66RkPr3tQAFKEYBPenZUVAEpeatCuNRvQiKAqJ2isKtHuu293KXgdRFuLd3rnopxwTgHfZTBLxDbsA2YQbpHTGbo3wwcJfMkP8ctV8v9HFvLdnBiYwxLn,27UsFJseRREXu6wjZRugHhKxwLD6jWbY9J5w2tTHp8ody1yvjp1phFXwPBerAYArE9BijQnaVqLXXPMa5LnVzJ3zTrwu4zLWb8nBfuBYqUmiynf5zne6X4uGu3hiWHGKwjnWJwDaSUsJspTqX6wNEGC1FmUHyK5wENojHFPNNuSFmGptLGEkjMki3kUki3m6SCFCDjPNMG8X56TfF4TZgfS
10.10.1.1,10.10.1.6,23t3v92vGrXgUjg11EHtAAb7jqNaM3ANcqHvAS2pGR1hVr5Kiwpyuu7oHE8BBDzTowGJbjc4x5nHwkuHUcZiJRfPQyMS3ETPYYCPWbffvsK4hETCevMsrehTWHMpin5y28LD3xnGiEeh4PUBJBwXMtuWDbSGRQuvDgrTr8k6vWULh9E6NDgwH7x3rTWxaugCWXNVhmbXq5twhwhzB4NPGLj,27UsFJseRREXu6wjZRugHhKxwLD6jWbY9J5w2tTHp8ody1yvjp1phFXwPBerAYArE9BijQnaVqLXXPMa5LnVzJ3zTrwu4zLWb8nBfuBYqUmiynf5zne6X4uGu3hiWHGKwjnWJwDaSUsJspTqX6wNEGC1FmUHyK5wENojHFPNNuSFmGptLGEkjMki3kUki3m6SCFCDjPNMG8X56TfF4TZgfS
10.10.1.1,10.10.1.7,23tKc5uLVSHr2ZSUhw58bEHVRomFrHQxo6QSy6GgQsbVCDfredgdiNgJHCznALsyBMHEfGhXrwzNctrWdvGprS7zYttJiDs5cL7ksGKp37Up8HHBVzkpzHrPqiS7jyzJf6iKKyomYFpiyWdaCrF9Aj7xCKkQYHRyPVe4jRPjj3FqE4VSmESJ7Xf82YQB5XQ1qus5LwQFG5CooF7H548X5Rw,27UsFJseRREXu6wjZRugHhKxwLD6jWbY9J5w2tTHp8ody1yvjp1phFXwPBerAYArE9BijQnaVqLXXPMa5LnVzJ3zTrwu4zLWb8nBfuBYqUmiynf5zne6X4uGu3hiWHGKwjnWJwDaSUsJspTqX6wNEGC1FmUHyK5wENojHFPNNuSFmGptLGEkjMki3kUki3m6SCFCDjPNMG8X56TfF4TZgfS
10.10.1.1,10.10.1.8,256eNHz889nPcTo8Z6tKA59jbHXFzcBZ9FpraGiv5hgdx5veXEhwBhe1qow952Npk5YiNGuriXHnv3RsWL3ZkzWvAPmycUwD8Gd94kFrLdtntsM5vHoNmsgb6ZHdiaYuhvTAkQGGrY4r4DZ36z2NWZLAx8RMG45buc9Rt3SFJm54HkrCcjPVkE8NmkBmuHMrd1ezdwkSkwkSt7wxQEoq7ez,27UsFJseRREXu6wjZRugHhKxwLD6jWbY9J5w2tTHp8ody1yvjp1phFXwPBerAYArE9BijQnaVqLXXPMa5LnVzJ3zTrwu4zLWb8nBfuBYqUmiynf5zne6X4uGu3hiWHGKwjnWJwDaSUsJspTqX6wNEGC1FmUHyK5wENojHFPNNuSFmGptLGEkjMki3kUki3m6SCFCDjPNMG8X56TfF4TZgfS
10.10.1.1,10.10.1.9,22hszR4g7Qu58TVpHdZLwRVXjRQiKunqRgjQLazWhHhcNUUnu1fJYADm4c4Xgqu5yruhBqejnGvbsb4Q87QeTJ6uxRD3tiUT4GN8MMwzoFbPeSnAKSqshWj5sfwy6fRUtGmLuTWm3scw3XXTwAnT1uugE591avUQ3XfwYpb1kRUDHcGz5FUsnYKVZ25odW8karrRm9RzZR1LFBSmt5934HM,27UsFJseRREXu6wjZRugHhKxwLD6jWbY9J5w2tTHp8ody1yvjp1phFXwPBerAYArE9BijQnaVqLXXPMa5LnVzJ3zTrwu4zLWb8nBfuBYqUmiynf5zne6X4uGu3hiWHGKwjnWJwDaSUsJspTqX6wNEGC1FmUHyK5wENojHFPNNuSFmGptLGEkjMki3kUki3m6SCFCDjPNMG8X56TfF4TZgfS
10.10.1.1,10.10.1.10,21WdrmmPKEeCuhADGN9A53JHmfxkb28bCsGBNrGfbMrqLJuDyi7azhaEeVk98CFjrcu3QAufnqAFB3sWkoedyTjLbU7PL5n61WGetE84KdYxLSwK94H3GnW16o8CnZAzKSUbovdW7b583THhvzGzvQMMptCTDBAHwSTyE988qf6nea9zzFubXqrbCRjsWWJhpXMxAYepYNMUvqWsjz8UE3a,27UsFJseRREXu6wjZRugHhKxwLD6jWbY9J5w2tTHp8ody1yvjp1phFXwPBerAYArE9BijQnaVqLXXPMa5LnVzJ3zTrwu4zLWb8nBfuBYqUmiynf5zne6X4uGu3hiWHGKwjnWJwDaSUsJspTqX6wNEGC1FmUHyK5wENojHFPNNuSFmGptLGEkjMki3kUki3m6SCFCDjPNMG8X56TfF4TZgfS
10.10.1.1,10.10.1.11,23t3yhAuaMWSkzyg5bwpwkcbwDW4b1vT7hKetYNsiW1SrS7kEd2Mz9SCoGM6qQ9QZRTYJUsbxP4U2qnsre3cdjhDBW3rqrhxK5XC12yo1HvujG5envGAyMwf4HpnZ1Z5NWcKkMpERMDpsJ8EbrnqLBTRPxW5UfzZHcvKwayp1KxwSzzwZTb671eSVAZkND4FHJApU1kht88vqitjBHUPp5H,27UsFJseRREXu6wjZRugHhKxwLD6jWbY9J5w2tTHp8ody1yvjp1phFXwPBerAYArE9BijQnaVqLXXPMa5LnVzJ3zTrwu4zLWb8nBfuBYqUmiynf5zne6X4uGu3hiWHGKwjnWJwDaSUsJspTqX6wNEGC1FmUHyK5wENojHFPNNuSFmGptLGEkjMki3kUki3m6SCFCDjPNMG8X56TfF4TZgfS
